ticker,industry
BMI,industrial machinery & equipment
BMO,banks
BMRA,"medical equipment, supplies & distribution"
BMRC,banks
BMRN,pharmaceuticals
BMS,non-paper containers & packaging
BMTC,banks
BMY,pharmaceuticals
BNCL,banks
BND,exchange traded fund
BNDC,exchange traded fund
BNDX,exchange traded fund
BNED,other specialty retailers
BNFT,software
BNO,exchange traded fund
BNS,banks
BNSO,electrical components & equipment
BNTC,biotechnology & medical research
BOCH,banks
BOFI,banks
BOH,banks
BOIL,exchange traded fund
BOJA,restaurants & bars
BOKF,banks
BOLD,biotechnology & medical research
BOMN,advertising & marketing
BOND,exchange traded fund
BOOM,steel
BOON,exchange traded fund
BOOT,apparel & accessories retailers
BORN,distillers & wineries
BOSC,electrical components & equipment
BOSS,exchange traded fund
BOTJ,banks
BOTZ,exchange traded fund
BOX,software
BOXL,electrical components & equipment
BP,oil & gas refining and marketing
BPFH,banks
BPI,personal services
BPL,oil & gas transportation services
BPMC,biotechnology & medical research
BPMP,oil & gas transportation services
BPMX,biotechnology & medical research
BPOP,banks
BPRN,banks
BPT,oil & gas refining and marketing
BPTH,biotechnology & medical research
BPY,real estate development & operations
BR,professional information services
BRC,business support services
BREW,brewers
BRF,exchange traded fund
BRFS,food processing
BRG,residential reits
BRID,food processing
BRK.A,property & casualty insurance
BRK.B,property & casualty insurance
BRKL,banks
BRKR,advanced medical equipment & technology
BRKS,semiconductor equipment & testing
BRN,oil & gas exploration and production
BRO,multiline insurance & brokers
BRPA,holding companies
BRPAU,holding companies
BRQS,software
BRS,oil related services and equipment
BRSS,specialty mining & metals
BRT,residential reits
BRX,commercial reits
BRZU,exchange traded fund
BSAC,banks
BSBR,banks
BSCI,exchange traded fund
BSCJ,exchange traded fund
BSCK,exchange traded fund
BSCL,exchange traded fund
BSCM,exchange traded fund
BSCN,exchange traded fund
BSCO,exchange traded fund
BSCP,exchange traded fund
BSCQ,exchange traded fund
BSCR,exchange traded fund
BSET,home furnishings
BSIG,investment management & fund operators
BSJI,exchange traded fund
BSJJ,exchange traded fund
BSJK,exchange traded fund
BSJL,exchange traded fund
BSJM,exchange traded fund
BSJN,exchange traded fund
BSJO,exchange traded fund
BSJP,exchange traded fund
BSM,oil & gas exploration and production
BSMX,banks
BSPM,biotechnology & medical research
BSQR,software
BSRR,banks
BSTC,biotechnology & medical research
BSTI,air freight & courier services
BSV,exchange traded fund
BSWN,exchange traded fund
BSX,advanced medical equipment & technology
BT,integrated telecommunications services
BTAI,biotechnology & medical research
BTAL,exchange traded fund
BTE,oil & gas exploration and production
BTEC,exchange traded fund
BTG,gold
BTI,tobacco
BTN,entertainment production
BTU,coal
BTX,biotechnology & medical research
BUD,brewers
BURG,restaurants & bars
BURL,discount stores
BUSE,banks
BUY,exchange traded fund
BUYN,exchange traded fund
BUZ,exchange traded fund
BVAL,exchange traded fund
BVN,gold
BVSN,software
BVX,"medical equipment, supplies & distribution"
BVXV,biotechnology & medical research
BW,heavy electrical equipment
BWA,"auto, truck & motorcycle parts"
BWB,banks
BWEN,renewable energy equipment & services
BWFG,banks
BWINA,property & casualty insurance
BWINB,property & casualty insurance
BWL.A,leisure & recreation
BWP,oil & gas transportation services
BWX,exchange traded fund
BWXT,aerospace & defense
BWZ,exchange traded fund
BX,investment management & fund operators
BXC,forest & wood products
BXE,oil & gas exploration and production
BXG,"hotels, motels & cruise lines"
BXMT,specialized reits
BXP,commercial reits
BXS,banks
BY,banks
BYD,casinos & gaming
BYFC,banks
BYLD,exchange traded fund
BYSI,biotechnology & medical research
BZF,exchange traded fund
BZH,homebuilding
BZQ,exchange traded fund
BZUN,it services & consulting
C,banks
CA,software
CAAP,airport services
CAAS,"auto, truck & motorcycle parts"
CABO,broadcasting
CAC,banks
CACC,consumer lending
CACG,exchange traded fund
CACI,it services & consulting
CADC,construction materials
CADE,banks
CAE,business support services
CAFD,electric utilities
CAG,food processing
CAH,drug retailers
CAI,marine freight & logistics
CAJ,office equipment
CAKE,restaurants & bars
CAL,footwear
CALA,biotechnology & medical research
CALI,"auto vehicles, parts & service retailers"
CALL,communications & networking
CALM,fishing & farming
CALX,communications & networking
CAMP,wireless telecommunications services
CAMT,semiconductor equipment & testing
CANE,exchange traded fund
CANF,biotechnology & medical research
CAPL,oil & gas refining and marketing
CAPR,biotechnology & medical research
CAR,"passenger transportation, ground & sea"
CARA,biotechnology & medical research
CARB,it services & consulting
CARG,internet services
CARO,banks
CARS,internet services
CART,banks
CARV,banks
CARZ,exchange traded fund
CASA,communications & networking
CASH,banks
CASI,biotechnology & medical research
CASM,advanced medical equipment & technology
CASS,business support services
CASY,food retail & distribution
CAT,heavy machinery & vehicles
CATB,biotechnology & medical research
CATC,banks
CATH,exchange traded fund
CATM,business support services
CATO,apparel & accessories retailers
CATS,healthcare facilities & services
CATY,banks
CAVM,semiconductors
CAW,personal products
CB,multiline insurance & brokers
CBAK,electrical components & equipment
CBAN,banks
CBAY,biotechnology & medical research
CBB,integrated telecommunications services
CBD,food retail & distribution
CBFV,banks
CBIO,pharmaceuticals
CBK,apparel & accessories retailers
CBL,commercial reits
CBLI,biotechnology & medical research
CBLK,internet services
CBM,pharmaceuticals
CBMG,biotechnology & medical research
CBND,exchange traded fund
CBOE,financial & commodity market operators
CBON,exchange traded fund
CBPO,biotechnology & medical research
CBPX,construction supplies & fixtures
CBRE,real estate services
CBRL,restaurants & bars
CBS,broadcasting
CBS.A,broadcasting
CBSH,banks
